id,area,gender,age,age_group,year_of_school,degree,job,know_english,know_france,know_chinese,income
1,central,female,69,middle,16,master,manager,1,,1,33250
2,southern,female,50,middle,12,highshool,officer,0,0,0,6960
3,northern,male,73,elder,12,highshool,officer,1,0,0,11100
4,northern,female,73,elder,12,highshool,officer,0,0,0,11100
5,central,male,69,middle,16,master,officer,1,0,0,16140
6,northern,female,72,elder,12,highshool,sale,0,0,,11400
7,southern,female,39,youth,15,bachelor,officer,0,0,0,7500
8,southern,female,74,elder,12,highshool,sale,1,0,0,9120
9,northern,male,34,youth,12,highshool,officer,0,0,0,10020
10,central,male,49,middle,12,highshool,manager,1,0,0,23760
11,northern,female,67,middle,15,bachelor,officer,1,0,,
12,northern,male,71,elder,12,highshool,officer,0,0,0,10680
13,southern,female,40,middle,12,highshool,sale,1,0,0,8580
14,central,female,70,elder,12,highshool,officer,0,0,0,16320
15,northern,female,72,elder,8,highshool,sale,,0,0,10980
16,central,male,67,middle,16,master,officer,0,0,0,17950
17,southern,male,44,middle,12,highshool,officer,1,1,0,8700
